"ReportingAreaName","ReportingAreaState","ReportingAreaID","ReportingAreaLat","ReportingAreaLong","SiteID","SiteName","SiteAgencyName","SiteLat","SiteLong"
"Albuquerque","NM","nm001",35.0833,-106.6511,"350431001","Bernalillo","Albuquerque Environmental Health Department",35.2994,-106.5483
"Albuquerque","NM","nm001",35.0833,-106.6511,"350010023","Del Norte","Albuquerque Environmental Health Department",35.1353,-106.584702
"Albuquerque","NM","nm001",35.0833,-106.6511,"350010026","Jefferson","Albuquerque Environmental Health Department",35.1441,-106.6044
"Albuquerque","NM","nm001",35.0833,-106.6511,"350011013","North Valley","Albuquerque Environmental Health Department",35.187801,-106.603897
"Albuquerque","NM","nm001",35.0833,-106.6511,"350010029","South Valley","Albuquerque Environmental Health Department",35.0186,-106.651901
"Albuquerque","NM","nm001",35.0833,-106.6511,"350011012","Tramway","Albuquerque Environmental Health Department",35.185,-106.5077
"Alexander County","NC","nc014",35.9208,-81.1773,"370350004","HICKORY","North Carolina DEQ - Division of Air Quality",35.728889,-81.365556
"Alexander County","NC","nc014",35.9208,-81.1773,"370030005","Taylorsville Liledoun","North Carolina DEQ - Division of Air Quality",35.9138,-81.191
"Algiers","  ","ds024",36.7558,3.0391,"ALG010001","Algiers","U.S. Department of State Algeria - Algiers",36.755798,3.039114
"Almaty","  ","ds056",43.23,76.95,"398KZ1010001","Almaty","U.S. Department of State Kazakhstan - Almaty",43.252855,76.93118
"Altoona","PA","pa006",40.5187,-78.3947,"420130801","Altoona","Pennsylvania Dept. of Environmental Protection",40.515,-78.3889
"Amarillo","TX","tx015",35.222,-101.8313,"483750320","Amarillo Texas A&M C320","Texas Commission on Environmental Quality",35.2006,-101.9083
"Amarillo","TX","tx015",35.222,-101.8313,"483819991","Palo Duro","Texas Commission on Environmental Quality",34.8803,-101.6649
"Amman","  ","ds052",31.945,35.8805,"400JOR010001","Amman","U.S. Department of State Jordan - Amman",31.945021,35.880501
"Anacortes","WA","wa033",48.5205,-122.6142,"530570011","Anacortes-202 Ave (SO-AQS)","Northwest Clean Air Agency",48.52008,-122.613213
"Anacortes","WA","wa033",48.5205,-122.6142,"530579999","Anacortes-Bartholomew Rd (US)","Northwest Clean Air Agency",48.465401,-122.559998
"Anchorage","AK","ak001",61.2167,-149.9,"020200018","Garden","State of Alaska DEC",61.205861,-149.8246
"Ann Arbor","MI","mi003",42.2754,-83.7308,"260910007","TECUMSEH","Michigan Department of Environment, Great Lakes, and Energy",41.995602,-83.946701
"Ann Arbor","MI","mi003",42.2754,-83.7308,"261610008","YPSILANTI","Michigan Department of Environment, Great Lakes, and Energy",42.24,-83.5997
"Antananarivo","  ","ds070",-18.9085,47.5375,"450MAD010001","Antananarivo","U.S. Department of State Madagascar- Antananarivo",-18.90848,47.53751
"Antelope Vly","CA","ca145",34.6694,-118.1305,"840060379035","Lancaster-Fairgrounds","Antelope Valley AQMD",34.7254,-118.1786
"Anza Vly","CA","ca159",33.577,-116.789,"060659001","Lake Elsinore - W. Flint Street","South Coast AQMD",33.676535,-117.331027
"Anza Vly","CA","ca159",33.577,-116.789,"060650016","Temecula (Lake Skinner)","South Coast AQMD",33.583099,-117.072197
"Apache Junction","AZ","az003",33.4214,-111.5436,"040213001","AJ Maintenance Yard","Pinal County Air Quality Control District",33.421406,-111.543596
"Apache Junction","AZ","az003",33.4214,-111.5436,"040213002","Apache Junction","Pinal County Air Quality Control District",33.42,-111.5042
"Aquinnah","MA","ma022",41.33,-70.79,"250070001","Wampanoag Laboratory - Martha's Vineyard","Massachusetts Dept. of Environmental Protection",41.33047,-70.78584
"Arden Arcade-Del Paso Manor","CA","ca242",38.6138,-121.368,"060670006","Arden Arcade - Del Paso Manor","Sacramento Metro. AQMD",38.613804,-121.368007
"Ardmore","OK","ok007",34.174,-97.144,"400190297","Healdton","Oklahoma Department of Environmental Quality",34.256901,-97.474197
"Ardmore","OK","ok007",34.174,-97.144,"400690324","Tishomingo","Oklahoma Department of Environmental Quality",34.198875,-96.67308
"Arkadelphia-Caddo Valley","AR","ar005",34.18,-93.1,"050199991","Caddo Valley","Arkansas Department of Environmental Quality",34.1795,-93.0988
"Ashland","OR","or039",42.1941,-122.7086,"410290203","Ashland Fire Dept","Oregon Dept. of Environmental Quality",42.1941,-122.7086
"Ashland","KY","ky004",38.4784,-82.6379,"210190017","FIVCO","Kentucky DEP",38.4592,-82.6339
"Ashland","OR","or039",42.1941,-122.7086,"410290201","Talent - Rapp Lane","Oregon Dept. of Environmental Quality",42.229891,-122.7877
"Ashland","KY","ky004",38.4784,-82.6379,"210890007","WORTH2002","Kentucky DEP",38.5483,-82.7317
"Ashland County","WI","wi017",46.6023,-90.6561,"550030010","Bad River Tribal School","Wisconsin Dept. of Natural Resources",46.6144,-90.6986
"Aspen","CO","co011",39.19,-106.82,"840080970007","Aspen Pumphouse","Colorado Department of Public Health and Environment",39.196271,-106.8364
"Aspen","CO","co011",39.19,-106.82,"080970008","Yellow Brick Building","Colorado Department of Public Health and Environment",39.192966,-106.823183
"Astana","  ","ds029",51.1253,71.4672,"KAZ010001","Astana","U.S. Department of State Kazakhstan - Astana",51.125287,71.467217
"Asuncion","  ","ds081",-25.2931,-57.604,"600PAR010001","Asuncion","U.S. Department of State Paraguay - Asuncion",-25.293536,-57.60395
"Atascadero","CA","ca185",35.49,-120.69,"060798002","Atascadero","San Luis Obispo County APCD",35.494556,-120.666203
"Athens","TN","tn012",35.44,-84.59,"471071002","ATHENS","Tennessee Air Pollution Control Div.",35.4511,-84.5992
"Athens-Clarke County","GA","ga004",33.918,-83.3445,"130590002","Athens","Georgia Department of Natural Resources",33.925,-83.3575
"Atlanta","GA","ga001",33.65,-84.43,"132470001","Conyers","Georgia Department of Natural Resources",33.5856,-84.0667
"Atlanta","GA","ga001",33.65,-84.43,"130850001","Dawsonville","Georgia Department of Natural Resources",34.3778,-84.0561
"Atlanta","GA","ga001",33.65,-84.43,"130970004","Douglasville","Georgia Department of Natural Resources",33.7433,-84.7789
"Atlanta","GA","ga001",33.65,-84.43,"132319991","Georgia Station","Georgia Department of Natural Resources",33.1787,-84.4052
"Atlanta","GA","ga001",33.65,-84.43,"131350002","Gwinnett Tech","Georgia Department of Natural Resources",33.9636,-84.0664
"Atlanta","GA","ga001",33.65,-84.43,"130670003","Kennesaw","Georgia Department of Natural Resources",34.0144,-84.6075
"Atlanta","GA","ga001",33.65,-84.43,"131510002","McDonough","Georgia Department of Natural Resources",33.4347,-84.1617
"Atlanta","GA","ga001",33.65,-84.43,"131210056","NR-Georgia Tech","Georgia Department of Natural Resources",33.778315,-84.391418
"Atlanta","GA","ga001",33.65,-84.43,"130890002","South DeKalb","Georgia Department of Natural Resources",33.6906,-84.2731
"Atlanta","GA","ga001",33.65,-84.43,"131210055","United Ave","Georgia Department of Natural Resources",33.7206,-84.3578
"Auburn","CA","ca123",38.8963,-121.0784,"840060610003","Auburn","Sacramento Metro. AQMD",38.93568,-121.09959
"Aurora and Elgin","IL","il010",41.9151,-88.3059,"170890005","ELGIN","Illinois EPA",42.0494,-88.2731
"Aurora and Elgin","IL","il010",41.9151,-88.3059,"170434002","Naperville","Illinois EPA",41.7714,-88.1522
"Austin","TX","tx001",30.267,-97.734,"484530020","Audubon C38","Texas Commission on Environmental Quality",30.483168,-97.8723
"Austin","TX","tx001",30.267,-97.734,"484530014","Austin North Hills Drive C3","Texas Commission on Environmental Quality",30.3542,-97.760002
"Austin","TX","tx001",30.267,-97.734,"484531068","Austin North Interstate 35 C1068","Texas Commission on Environmental Quality",30.35386,-97.69166
"Austin","TX","tx001",30.267,-97.734,"484530021","Austin Webberville Road C171","Texas Commission on Environmental Quality",30.2633,-97.7131
"Austin","TX","tx001",30.267,-97.734,"840480211612","Bastrop C1612","Texas Commission on Environmental Quality",30.108222,-97.293741
"Austin","TX","tx001",30.267,-97.734,"840482091630","CAPCOG Lake Kyle Park","Texas Commission on Environmental Quality",29.986848,-97.862646
"Austin","TX","tx001",30.267,-97.734,"840484911620","CAPCOG Round Rock Brushy Creek W C1620","Texas Commission on Environmental Quality",30.513854,-97.666703
"Austin","TX","tx001",30.267,-97.734,"840484911629","CAPCOG Taylor Murphy Park","Texas Commission on Environmental Quality",30.579149,-97.416462
"Austin","TX","tx001",30.267,-97.734,"840482091629","CAPCOG TAYLOR MURPHY PARK C1629","Texas Commission on Environmental Quality",30.579149,-97.416462
"Austin","TX","tx001",30.267,-97.734,"482090614","Dripping Springs C614","Texas Commission on Environmental Quality",30.214636,-98.083311
"Austin","TX","tx001",30.267,-97.734,"840484531619","East Austin C1619","Texas Commission on Environmental Quality",30.250845,-97.721277
"Austin","TX","tx001",30.267,-97.734,"840480211613","Elgin C1613","Texas Commission on Environmental Quality",30.347808,-97.378508
"Austin","TX","tx001",30.267,-97.734,"481490001","Fayette C601","Texas Commission on Environmental Quality",29.962474,-96.745875
"Austin","TX","tx001",30.267,-97.734,"484910690","Lake Georgetown C690","Texas Commission on Environmental Quality",30.666508,-97.734592
"Austin","TX","tx001",30.267,-97.734,"480551604","Lockhart C1604","Texas Commission on Environmental Quality",29.864581,-97.664869
"Austin","TX","tx001",30.267,-97.734,"482091675","San Marcos Staples Rd C1675","Texas Commission on Environmental Quality",29.862294,-97.928894
"Austin","TX","tx001",30.267,-97.734,"484530220","Test Site #3 C220","Texas Commission on Environmental Quality",30.3939,-97.6733
"Austin","TX","tx001",30.267,-97.734,"484530093","Test TCEQ C93","Texas Commission on Environmental Quality",30.3939,-97.6733
"Avery County","NC","nc018",36.0768,-81.9226,"370119991","Cranberry","North Carolina DEQ - Division of Air Quality",36.1058,-82.0454
"Avery County","NC","nc018",36.0768,-81.9226,"370110002","Linville Falls","North Carolina DEQ - Division of Air Quality",35.972347,-81.933072
"Avery County","NC","nc018",36.0768,-81.9226,"371210004","Spruce Pine","North Carolina DEQ - Division of Air Quality",35.912487,-82.062082
"Badlands","SD","sd002",43.7456,-101.9412,"460710001","Badlands","South Dakota Department of Agriculture and Natural Resources",43.746944,-101.941109
"Baghdad","  ","ds026",33.3128,44.3615,"368IRQ010001","Baghdad","U.S. Department of State Iraq - Baghdad",33.3128,44.3615
"Baker City","OR","or011",44.7882,-117.8446,"410010004","Baker City - Forest Service","Oregon Dept. of Environmental Quality",44.78822,-117.8446
"Baker County","FL","fl031",30.3931,-82.3018,"120230002","Lake City","Florida Dept. of Environmental Protection",30.1783,-82.6192
"Baker County","FL","fl031",30.3931,-82.3018,"120030002","Osceola National Forest","Florida Dept. of Environmental Protection",30.1972,-82.445
"Bakersfield","CA","ca006",35.3577,-119.0046,"060290014","Bakersfield - California Ave","San Joaquin Valley Unified APCD",35.356615,-119.062613
"Bakersfield","CA","ca006",35.3577,-119.0046,"060290010","Bakersfield - Golden State Highway","San Joaquin Valley Unified APCD",35.3853,-119.014702
"Baku","  ","ds069",40.387,49.843,"031AZE010001","Baku","U.S. Department of State Azerbaijan - Baku",40.386992,49.842946
"Bamako","  ","ds039",12.6298,-8.0189,"466ML1010001","Bamako","U.S. Department of State Mali - Bamako",12.632524,-8.036911
"Banja Luka","  ","ds076",44.772,17.186,"070BH2010001","Banja Luka","U.S. Department of State Bosnia Herzegovina - Banja Luka",44.7725,17.185556
"Banning","CA","ca161",33.9208,-116.8583,"060650012","Banning - South Hathaway Street","South Coast AQMD",33.920758,-116.858419
"Barstow","CA","ca177",34.8938,-117.0244,"060710001","Barstow","Mojave Desert AQMD",34.894054,-117.024756
"Baton Rouge Area","LA","la001",30.449,-91.126,"220470009","Bayou Plaquemine","Louisiana Department of Environmental Quality",30.2211,-91.3153
"Baton Rouge Area","LA","la001",30.449,-91.126,"220330009","Capitol","Louisiana Department of Environmental Quality",30.4622,-91.1769
"Baton Rouge Area","LA","la001",30.449,-91.126,"220470012","Carville","Louisiana Department of Environmental Quality",30.1975,-91.1283
"Baton Rouge Area","LA","la001",30.449,-91.126,"220050004","Dutchtown","Louisiana Department of Environmental Quality",30.2294,-90.9656
"Baton Rouge Area","LA","la001",30.449,-91.126,"220630002","French Settlement","Louisiana Department of Environmental Quality",30.315,-90.8114
"Baton Rouge Area","LA","la001",30.449,-91.126,"220330003","LSU","Louisiana Department of Environmental Quality",30.4197,-91.1819
"Baton Rouge Area","LA","la001",30.449,-91.126,"221210001","Port Allen","Louisiana Department of Environmental Quality",30.5019,-91.2111
"Baton Rouge Area","LA","la001",30.449,-91.126,"220330013","Pride","Louisiana Department of Environmental Quality",30.7008,-91.0561
"Bay and Gulf Counties","FL","fl024",30.104,-85.467,"120050006","St. Andrews Park","Florida Dept. of Environmental Protection",30.128901,-85.738098
"Bayamon","PR","pr001",18.4192,-66.1504,"720210010","Bayamon 37 (NCore)","Puerto Rico Environmental Quality Board",18.41923,-66.15042
"Beaumont-Port Arthur","TX","tx002",30.083,-94.1,"482450009","Beaumont C2/C112","Texas Commission on Environmental Quality",30.0394,-94.0747
"Beaumont-Port Arthur","TX","tx002",30.083,-94.1,"482450022","Hamshire C64","Texas Commission on Environmental Quality",29.863952,-94.3178
"Beaumont-Port Arthur","TX","tx002",30.083,-94.1,"482450018","Jefferson Co. Airport C1019","Texas Commission on Environmental Quality",29.9428,-94.0008
"Beaumont-Port Arthur","TX","tx002",30.083,-94.1,"482451035","Nederland C1035","Texas Commission on Environmental Quality",29.9786,-94.0111
"Beaumont-Port Arthur","TX","tx002",30.083,-94.1,"482450011","Port Arthur West C28/C128/C228","Texas Commission on Environmental Quality",29.8942,-93.9875
"Beaumont-Port Arthur","TX","tx002",30.083,-94.1,"482450101","SETRPC 40 Sabine Pass C640","Texas Commission on Environmental Quality",29.7181,-93.8969
"Beaumont-Port Arthur","TX","tx002",30.083,-94.1,"482450102","SETRPC 43 Jefferson Co Airport C643","Texas Commission on Environmental Quality",29.9425,-94.0006
"Beaumont-Port Arthur","TX","tx002",30.083,-94.1,"483611100","SETRPC Mauriceville 42 C642","Texas Commission on Environmental Quality",30.18,-93.8731
"Beaumont-Port Arthur","TX","tx002",30.083,-94.1,"482450628","SETRPC Port Arthur C628","Texas Commission on Environmental Quality",29.865,-93.955
"Beaumont-Port Arthur","TX","tx002",30.083,-94.1,"482450021","Thomas Jefferson School C303","Texas Commission on Environmental Quality",29.9219,-93.9139
"Beaumont-Port Arthur","TX","tx002",30.083,-94.1,"483611001","West Orange C9/C141","Texas Commission on Environmental Quality",30.0844,-93.7617
"Beaverton","OR","or035",45.4702,-122.8159,"410670111","Beaverton - Highland Park School","Oregon Dept. of Environmental Quality",45.4702,-122.8159
"Beijing","  ","ds037",39.9534,116.4663,"BJ1010001","Beijing","U.S. Department of State China - Beijing",39.953352,116.466258
"Belle Glade","FL","fl019",26.7241,-80.663,"120990008","Belle Glade","Palm Beach County Health Department Division of Environmental Science and Engineering",26.724167,-80.663055
"Bellingham","WA","wa012",48.7625,-122.4419,"530730019","Bellingham Pacific","Northwest Clean Air Agency",48.760036,-122.456463
"Bellingham","WA","wa012",48.7625,-122.4419,"530730005","Custer-Loomis (SO-AQS)","Northwest Clean Air Agency",48.950699,-122.554398
"Bellingham","WA","wa012",48.7625,-122.4419,"530570015","Mt Vernon-S 2nd St","Northwest Clean Air Agency",48.410198,-122.337601
"Bellingham","WA","wa012",48.7625,-122.4419,"530299999","Oak Harbor-SW 6th (US)","Northwest Clean Air Agency",48.294399,-122.660004
"Belmopan","  ","ds082",17.2617,-88.771,"084BZ1010001","Belmopan","U.S. Department of State Belize - Belmopan",17.256124,-88.773876
"Bend and Redmond","OR","or012",44.0639,-121.3126,"410170120","Bend - Pump Station","Oregon Dept. of Environmental Quality",44.063916,-121.312554
"Bend and Redmond","OR","or012",44.0639,-121.3126,"840410170123","Bend NE 8th & Emerson","Oregon Dept. of Environmental Quality",44.054661,-121.294068
"Bend and Redmond","OR","or012",44.0639,-121.3126,"840410171001","Redmond High School","Oregon Dept. of Environmental Quality",44.275,-121.1905
"Bennington","VT","vt002",42.8975,-73.2508,"500030004","Bennington","Vermont Air Quality & Climate Division",42.887501,-73.249702
"Benton Harbor","MI","mi009",42.1167,-86.4542,"260270003","CASSOPOLIS","Michigan Department of Environment, Great Lakes, and Energy",41.8956,-86.0017
"Benton Harbor","MI","mi009",42.1167,-86.4542,"260210014","COLOMA","Michigan Department of Environment, Great Lakes, and Energy",42.1978,-86.3097
"Benton Harbor","MI","mi009",42.1167,-86.4542,"260770008","KALAMAZOO","Michigan Department of Environment, Great Lakes, and Energy",42.2781,-85.5419
"Beulah","ND","nd002",47.2986,-101.7669,"380570004","Beulah North","North Dakota Department of Environmental Quality",47.2986,-101.7669
"Big Bear Lake","CA","ca171",34.1734,-116.8851,"060710005","Crestline - Lake Gregory","South Coast AQMD",34.243132,-117.272275
"Big Bend","TX","tx023",29.3025,-103.1781,"480430101","Big Bend  NP","Texas Commission on Environmental Quality",29.3025,-103.178101
"Big Horn County","WY","wy008",44.28,-108.04,"560030002","Basin","Bureau of Land Management - Wyoming",44.28,-108.041107
"Big Piney","WY","wy024",42.49,-110.1,"560350700","Big Piney","Wyoming Department of Environmental Quality",42.486668,-110.099167
"Billings","MT","mt004",45.7822,-108.5115,"301110066","Billings Coburn Rd","Montana DEQ",45.786579,-108.45878
"Billings","MT","mt004",45.7822,-108.5115,"301110087","Billlings Lockwood","Montana DEQ",45.806357,-108.426551
"Birmingham","AL","al001",33.56,-86.75,"010735003","CORNER","Alabama Department of Environmental Management",33.8017,-86.9425
"Birmingham","AL","al001",33.56,-86.75,"010731003","FAIRFIELD","Alabama Department of Environmental Management",33.4856,-86.915
"Birmingham","AL","al001",33.56,-86.75,"011170004","HELENA","Alabama Department of Environmental Management",33.3169,-86.825
"Birmingham","AL","al001",33.56,-86.75,"010731010","LEEDS","Alabama Department of Environmental Management",33.5453,-86.5492
"Birmingham","AL","al001",33.56,-86.75,"010731005","MCADORY","Alabama Department of Environmental Management",33.3311,-87.0036
"Birmingham","AL","al001",33.56,-86.75,"010730023","NO. BHAM","Alabama Department of Environmental Management",33.5531,-86.815
"Birmingham","AL","al001",33.56,-86.75,"010736004","Shuttlesworth","Alabama Department of Environmental Management",33.565278,-86.796389
"Birmingham","AL","al001",33.56,-86.75,"010736002","TARRANT","Alabama Department of Environmental Management",33.5783,-86.7739
"Birmingham","AL","al001",33.56,-86.75,"010732003","WYLAM","Alabama Department of Environmental Management",33.4997,-86.9242
"Bishkek","  ","ds030",42.8276,74.5838,"417BI1010001","Bishkek","U.S. Department of State Kyrgyzstan - Bishkek",42.827626,74.58384
"Bishop","CA","ca227",37.3615,-118.3952,"060270002","NCORE - Bishop","Great Basin Unified Air Pollution Control District",37.360701,-118.330835
"Bismarck","ND","nd003",46.8253,-100.7681,"380150003","Bismarck Residential","North Dakota Department of Environmental Quality",46.8253,-100.7681
"Bloomington","IN","in008",39.1594,-86.5047,"181050003","Bloomington - Binford","Indiana Dept. of Environmental Management 2",39.159372,-86.504747
"Bloomington","IN","in008",39.1594,-86.5047,"180130001","Helmsburg","Indiana Dept. of Environmental Management 2",39.263914,-86.292261
"Bloomington and Normal","IL","il013",40.493,-88.9803,"171132003","NORMAL","Illinois EPA",40.5169,-88.9975
"Bogota","  ","ds007",4.6377,-74.0949,"BG1010001","Bogota","U.S. Department of State Colombia - Bogota",4.637735,-74.094856
"Boise","ID","id001",43.6361,-116.2033,"160010020","Garden City","Idaho Department of Environmental Quality",43.647888,-116.269409
"Boise","ID","id001",43.6361,-116.2033,"840160270010","Nampa Ridgecrest","Idaho Department of Environmental Quality",43.59934,-116.52887
"Boise","ID","id001",43.6361,-116.2033,"160010010","St. Lukes Meridian","Idaho Department of Environmental Quality",43.600699,-116.347853
"Boise","ID","id001",43.6361,-116.2033,"160010017","White Pine","Idaho Department of Environmental Quality",43.577603,-116.178156
"Bonne Terre","MO","mo005",37.9008,-90.4239,"291860005","Bonne Terre","Missouri Department of Natural Resources",37.90084,-90.42388
"Boston","MA","ma001",42.351,-71.051,"250250042","Boston - Roxbury","Massachusetts Dept. of Environmental Protection",42.329399,-71.082497
"Boston","MA","ma001",42.351,-71.051,"250250002","BOSTON-KENMORE","Massachusetts Dept. of Environmental Protection",42.3489,-71.097702
"Boston","MA","ma001",42.351,-71.051,"250250044","Boston-Von Hillern","Massachusetts Dept. of Environmental Protection",42.325197,-71.056056
"Boulder","WY","wy022",42.7462,-109.7206,"560350099","Boulder","Wyoming Department of Environmental Quality",42.7186,-109.7531
"Boulder City","NV","nv013",35.9698,-114.835,"320030602","Garrett Jr. High","Clark County Department of Environment and Sustainability ",35.969848,-114.835007
"Bowling Green","KY","ky005",36.9685,-86.4808,"212130004","FRANKLN","Kentucky DEP",36.7086,-86.5664
"Bowling Green","KY","ky005",36.9685,-86.4808,"212270009","Smiths Grove","Kentucky DEP",37.04926,-86.21487
"Bozeman","MT","mt006",45.6838,-111.0563,"300310019","Bozeman High School","Montana DEQ",45.683765,-111.056282
"Brawley","CA","ca251",32.9783,-115.5383,"060250007","Brawley - 220 Main Street","Imperial County Air Pollution Control District",32.978298,-115.5383
"Bremerton-Silverdale-Bainbridge Island","WA","wa001",47.64,-122.647,"530350007","Bremerton-Spruce Ave","Puget Sound Clean Air Agency",47.592675,-122.627397
"Bridgeport","CT","ct001",41.184,-73.19,"090010010","Bridgeport","Connecticut Dept. of Energy and Environmental Protection",41.171398,-73.195297
"Bridgeport","CT","ct001",41.184,-73.19,"090013007","Stratford","Connecticut Dept. of Energy and Environmental Protection",41.1519,-73.1036
"Broadus","MT","mt007",45.4403,-105.3703,"300750001","Broadus","Montana DEQ",45.440295,-105.37028
"Brockton","MA","ma020",42.065,-71.013,"250230005","Brockton","Massachusetts Dept. of Environmental Protection",42.065119,-71.012686
"Brookings","OR","or046",42.05,-124.29,"840410150002","Brookings CPFA","Oregon Dept. of Environmental Quality",42.054597,-124.276768
"Brookings","SD","sd005",44.3486,-96.8073,"460110003","Research Farm","South Dakota Department of Agriculture and Natural Resources",44.348604,-96.807299
"Broward County","FL","fl001",26.0102,-80.1951,"840120115005","Coconut Creek","Broward County Natural Resources Division",26.29405,-80.17634
"Broward County","FL","fl001",26.0102,-80.1951,"120118002","DANIA_BEACH","Broward County Natural Resources Division",26.0864,-80.1114
"Broward County","FL","fl001",26.0102,-80.1951,"120110034","NCORE","Broward County Natural Resources Division",26.054047,-80.257608
"Broward County","FL","fl001",26.0102,-80.1951,"120110035","Near Road","Broward County Natural Resources Division",26.131256,-80.167847
"Broward County","FL","fl001",26.0102,-80.1951,"120112003","POMPANO_BEACH","Broward County Natural Resources Division",26.2906,-80.0969
"Broward County","FL","fl001",26.0102,-80.1951,"120110033","V_VIEW","Broward County Natural Resources Division",26.0732,-80.3386
"Brownsville-McAllen","TX","tx010",26.19,-97.69,"480610006","Brownsville C80","Texas Commission on Environmental Quality",25.8925,-97.4936
"Brownsville-McAllen","TX","tx010",26.19,-97.69,"480611023","Harlingen Teege C1023","Texas Commission on Environmental Quality",26.200278,-97.712501
"Brownsville-McAllen","TX","tx010",26.19,-97.69,"480612004","Isla Blanca C323/C667","Texas Commission on Environmental Quality",26.0733,-97.1667
"Brownsville-McAllen","TX","tx010",26.19,-97.69,"482150043","Mission C43","Texas Commission on Environmental Quality",26.226226,-98.29107
"Brunswick","GA","ga005",31.1696,-81.4952,"131270006","Brunswick","Georgia Department of Natural Resources",31.1694,-81.4964
"Bryan-College Station","TX","tx024",30.6199,-96.326,"840480411086","Bryan Finfeather Road","Texas Commission on Environmental Quality",30.627409,-96.362842
"Buenos Aires","  ","ds023",-34.5773,-58.4176,"032BAA010002","Buenos Aires","U.S. Department of State Argentina - Buenos Aires",-34.5766,-58.4188
"Bullhead City","AZ","az028",35.1661,-114.5661,"040151003","Bullhead City","Arizona Department of Environmental Quality",35.166111,-114.566111
"Buncombe County","NC","nc002",35.595,-82.551,"370210034","BDED","North Carolina DEQ - Division of Air Quality",35.6062,-82.5844
"Buncombe County","NC","nc002",35.595,-82.551,"370210030","BNTCR","North Carolina DEQ - Division of Air Quality",35.5,-82.6
"Burlington","VT","vt001",44.467,-73.201,"500070007","Underhill","Vermont Air Quality & Climate Division",44.528389,-72.868973
"Burns","OR","or013",43.5893,-119.0487,"410250003","Burns - Washington St.","Oregon Dept. of Environmental Quality",43.58925,-119.048302
"Butte","MT","mt008",46.0024,-112.5009,"300930005","Butte Greely School","Montana DEQ",46.002399,-112.500893
"C San Bernardino","CA","ca166",34.113,-117.371,"060712002","Fontana - Arrow Highway","South Coast AQMD",34.100132,-117.491982
