AQSID,SiteName,Status,EPARegion,Latitude,Longitude,Elevation,GMTOffset,CountryCode,StateName,ValidDate,ValidTime,DataSource,ReportingArea_PipeDelimited,OZONE_AQI,PM10_AQI,PM25_AQI,NO2_AQI,OZONE_Measured,PM10_Measured,PM25_Measured,NO2_Measured,NO2,NO2_Unit,CO,CO_Unit,PM25,PM25_Unit,SO2,SO2_Unit,OZONE,OZONE_Unit,PM10,PM10_Unit
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,10:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,4.0,11.0,43.0,21.0,1,1,1,1,22.9,PPB,0.5,PPM,11.2,UG/M3,0.0,PPB,0.0,PPB,15.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,06:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,14.0,13.0,34.0,21.0,1,1,1,1,22.4,PPB,0.5,PPM,9.2,UG/M3,0.1,PPB,9.0,PPB,15.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,18:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,29.0,19.0,47.0,16.0,1,1,1,1,17.5,PPB,0.4,PPM,11.5,UG/M3,0.0,PPB,42.0,PPB,20.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,02:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,38.0,7.0,24.0,5.0,1,1,1,1,5.2,PPB,0.2,PPM,5.2,UG/M3,-0.1,PPB,44.0,PPB,6.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,04:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,24.0,7.0,22.0,15.0,1,1,1,1,16.5,PPB,0.4,PPM,5.2,UG/M3,0.0,PPB,22.0,PPB,10.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,15:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,14.0,16.0,42.0,22.0,1,1,1,1,23.7,PPB,0.5,PPM,8.5,UG/M3,0.0,PPB,13.0,PPB,16.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,03:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,34.0,6.0,23.0,8.0,1,1,1,1,8.0,PPB,0.2,PPM,5.0,UG/M3,0.0,PPB,37.0,PPB,6.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,23:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,49.0,15.0,35.0,5.0,1,1,1,1,5.8,PPB,0.2,PPM,6.2,UG/M3,0.0,PPB,55.0,PPB,13.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,22:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,48.0,19.0,45.0,6.0,1,1,1,1,6.6,PPB,0.2,PPM,10.7,UG/M3,0.0,PPB,59.0,PPB,17.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,09:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,5.0,9.0,39.0,20.0,1,1,1,1,21.0,PPB,0.4,PPM,9.3,UG/M3,0.0,PPB,3.0,PPB,8.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,17:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,24.0,19.0,47.0,15.0,1,1,1,1,16.3,PPB,0.4,PPM,12.4,UG/M3,0.0,PPB,38.0,PPB,21.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,14:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,6.0,18.0,48.0,25.0,1,1,1,1,26.1,PPB,0.9,PPM,10.2,UG/M3,0.2,PPB,2.0,PPB,24.0,UG/M3
060371103,Los Angeles - N. Main Street,Active,R9,34.066429,-118.226755,30.5,-8.0,US,CA,04/16/2024,16:00,South Coast AQMD,Central LA CO|W San Gabriel Vly,16.0,17.0,43.0,19.0,1,1,1,1,20.7,PPB,0.5,PPM,10.4,UG/M3,0.0,PPB,22.0,PPB,19.0,UG/M3
