AQSID,SiteName,Status,EPARegion,Latitude,Longitude,Elevation,GMTOffset,CountryCode,StateName,ValidDate,ValidTime,DataSource,ReportingArea_PipeDelimited,OZONE_AQI,PM10_AQI,PM25_AQI,NO2_AQI,OZONE_Measured,PM10_Measured,PM25_Measured,NO2_Measured,NO2,NO2_Unit,CO,CO_Unit,PM25,PM25_Unit,SO2,SO2_Unit,OZONE,OZONE_Unit,PM10,PM10_Unit
200910010,Heritage Park,Active,R7,38.8386,-94.7464,0.0,-6.0,US,KS,04/16/2024,12:00,Kansas Dept. of Health and Environment,Kansas City,28.0,20.0,48.0,,1,1,1,0,,,,,13.7,UG/M3,,,29.0,PPB,24.0,UG/M3
840550250047,Madison University Ave,Active,R5,43.07378,-89.43595,0.0,-6.0,US,WI,04/16/2024,12:00,Wisconsin Dept. of Natural Resources,"Dane, Columbia, and Sauk Counties",,16.0,19.0,,0,1,1,0,,,,,4.9,UG/M3,,,,,24.0,UG/M3
320030044,Mountains Edge,Active,R9,36.0075,-115.263056,0.0,-8.0,US,NV,04/16/2024,12:00,Clark County Department of Environment and Sustainability ,Las Vegas,39.0,4.0,2.0,,1,1,1,0,,,,,0.5,UG/M3,,,43.0,PPB,4.0,UG/M3
130890002,South DeKalb,Active,R4,33.6906,-84.2731,0.0,-5.0,US,GA,04/16/2024,12:00,Georgia Department of Natural Resources,Atlanta,6.0,23.0,58.0,14.0,1,1,1,1,15.6,PPB,0.6,PPM,14.9,UG/M3,0.3,PPB,0.0,PPB,26.0,UG/M3
230031008,Presque Isle Regional Office,Active,R1,46.69838,-68.038933,0.0,-5.0,US,ME,04/16/2024,12:00,Maine Dept. of Environmental Protection,Ashland,,5.0,10.0,,0,1,1,0,,,,,1.9,UG/M3,,,,,2.0,UG/M3
390350045,Cleveland Fire St13,Active,R5,41.471782,-81.656792,0.0,-5.0,US,OH,04/16/2024,12:00,Ohio EPA-DAPC,,,25.0,30.0,,0,1,1,0,,,,,7.8,UG/M3,,,,,33.0,UG/M3
300750001,Broadus,Active,R8,45.440295,-105.37028,0.0,-7.0,US,MT,04/16/2024,12:00,Montana DEQ,Broadus,,0.0,30.0,,1,1,1,0,,,,,7.9,UG/M3,,,,,0.0,UG/M3
500070007,Underhill,Active,R1,44.528389,-72.868973,388.0,-5.0,US,VT,04/16/2024,12:00,Vermont Air Quality & Climate Division,Burlington|Vermont Mountain Valley Locations,38.0,5.0,11.0,,1,1,1,0,,,,,2.5,UG/M3,,,42.0,PPB,5.0,UG/M3
201910002,PECK,Active,R7,37.4769,-97.3664,0.0,-6.0,US,KS,04/16/2024,12:00,Kansas Dept. of Health and Environment,Wichita,37.0,19.0,24.0,1.0,1,1,1,1,1.7,PPB,,,3.3,UG/M3,0.0,PPB,45.0,PPB,18.0,UG/M3
040139812,Durango Complex,Active,R9,33.4265,-112.1181,316.9,-7.0,US,AZ,04/16/2024,12:00,Maricopa County Air Quality Department,Phoenix,,51.0,49.0,,0,1,1,0,,,,,13.3,UG/M3,0.0,PPB,,,61.0,UG/M3
390610040,Taft NCore PAMS,Active,R5,39.12886,-84.50404,0.0,-5.0,US,OH,04/16/2024,12:00,Ohio EPA-DAPC,Cincinnati,39.0,20.0,33.0,10.0,1,1,1,1,11.0,PPB,0.2,PPM,8.5,UG/M3,0.7,PPB,39.0,PPB,26.0,UG/M3
010890014,Huntsville Old Airport,Active,R4,34.6917,-86.591698,0.0,-6.0,US,AL,04/16/2024,12:00,Huntsville Natural Resources and Environmental Management,Huntsville,28.0,18.0,38.0,,1,1,1,0,,,,,8.3,UG/M3,,,30.0,PPB,18.0,UG/M3
401470217,Copan,Active,R6,36.908115,-95.88235,0.0,-6.0,US,OK,04/16/2024,12:00,Oklahoma Department of Environmental Quality,,29.0,15.0,41.0,,1,1,1,0,,,,,9.7,UG/M3,,,30.0,PPB,16.0,UG/M3
320030602,Garrett Jr. High,Active,R9,35.969848,-114.835007,713.4,-8.0,US,NV,04/16/2024,12:00,Clark County Department of Environment and Sustainability ,Boulder City,41.0,4.0,3.0,,1,1,1,0,,,,,0.9,UG/M3,,,46.0,PPB,5.0,UG/M3
060772010,Manteca,Active,R9,37.8027,-121.2208,0.0,-8.0,US,CA,04/16/2024,12:00,San Joaquin Valley Unified APCD,,,13.0,35.0,,0,1,1,0,,,,,8.8,UG/M3,,,,,16.0,UG/M3
390350060,GT Craig NCore PAMS,Active,R5,41.492191,-81.678552,298.9,-5.0,US,OH,04/16/2024,12:00,Ohio EPA-DAPC,Cleveland-Akron-Lorain,14.0,100.0,64.0,31.0,1,1,1,1,33.0,PPB,0.5,PPM,23.5,UG/M3,3.0,PPB,9.0,PPB,218.0,UG/M3
060190011,Fresno - Garland,Active,R9,36.78538,-119.77321,97.0,-8.0,US,CA,04/16/2024,12:00,California Air Resources Board,Fresno,20.0,12.0,30.0,,1,1,1,1,,,0.2,PPM,6.2,UG/M3,,,,,13.0,UG/M3
840390490040,Jackson Pike WWTP,Active,R5,39.91251,-83.01159,0.0,-5.0,US,OH,04/16/2024,12:00,Ohio EPA-DAPC,,,72.0,55.0,,0,1,1,0,,,,,16.8,UG/M3,,,,,143.0,UG/M3
330150018,Londonderry - Moose Hill,Active,R1,42.862531,-71.38014,123.8,-5.0,US,NH,04/16/2024,12:00,New Hampshire Dept. of Environmental Services,Londonderry,28.0,6.0,13.0,,1,1,1,0,,,0.2,PPM,3.2,UG/M3,0.7,PPB,34.0,PPB,6.0,UG/M3
370670022,Hattie Avenue,Active,R4,36.110933,-80.224411,281.8,-5.0,US,NC,04/16/2024,12:00,Forsyth County Office of Environmental Assistance and Protection,Forsyth County-Winston-Salem-Greensboro-High Point,35.0,25.0,52.0,3.0,1,1,1,1,3.4,PPB,,,11.3,UG/M3,-0.5,PPB,44.0,PPB,26.0,UG/M3
840460130004,Aberdeen,Active,R8,45.468596,-98.494061,395.3,-6.0,US,SD,04/16/2024,12:00,South Dakota Department of Agriculture and Natural Resources,Aberdeen,,32.0,33.0,,0,1,1,0,,,,,8.7,UG/M3,,,,,20.0,UG/M3
060792007,CDF,Active,R9,35.04676,-120.58777,30.5,-8.0,US,CA,04/16/2024,12:00,San Luis Obispo County APCD,Nipomo CDF,,7.0,13.0,,0,1,1,0,,,,,1.0,UG/M3,,,,,9.0,UG/M3
160050015,Pocatello Garrett and Gould,Active,R10,42.876701,-112.460297,0.0,-7.0,US,ID,04/16/2024,12:00,Idaho Department of Environmental Quality,Pocatello,24.0,11.0,23.0,,1,1,1,0,,,,,6.0,UG/M3,,,16.0,PPB,14.0,UG/M3
320030043,Paul Meyer,Active,R9,36.106389,-115.253333,736.6,-8.0,US,NV,04/16/2024,12:00,Clark County Department of Environment and Sustainability ,Las Vegas,20.0,11.0,12.0,,1,1,1,0,,,,,2.7,UG/M3,,,17.0,PPB,11.0,UG/M3
840518100008,Tidewater Regional Office,Active,R3,36.84188,-76.18123,0.0,-5.0,US,VA,04/16/2024,12:00,Virginia Dept. of Environmental Quality,Hampton Roads,,14.0,28.0,,0,1,1,0,,,,,6.0,UG/M3,,,,,14.0,UG/M3
261630033,DEARBORN,Active,R5,42.3075,-83.15,390.4,-5.0,US,MI,04/16/2024,12:00,"Michigan Department of Environment, Great Lakes, and Energy",Detroit,,45.0,26.0,,0,1,1,0,,,,,6.9,UG/M3,,,,,66.0,UG/M3
401091037,North OKC,Active,R6,35.612801,-97.472198,0.0,-6.0,US,OK,04/16/2024,12:00,Oklahoma Department of Environmental Quality,Oklahoma City,28.0,25.0,54.0,3.0,1,1,1,1,3.0,PPB,0.4,PPM,13.0,UG/M3,0.0,PPB,28.0,PPB,28.0,UG/M3
840060792020,SLO Roberto,Active,R9,35.259473,-120.644493,0.0,-8.0,US,CA,04/16/2024,12:00,San Luis Obispo County APCD,San Luis Obispo,,9.0,23.0,,0,1,1,0,,,,,6.0,UG/M3,,,,,10.0,UG/M3
840401239030,Mobile - Chickasaw,Active,R6,34.776389,-96.677778,308.1,-6.0,US,OK,04/16/2024,12:00,Cherokee Nation,,30.0,17.0,36.0,,1,1,1,0,,,,,9.1,UG/M3,,,30.0,PPB,20.0,UG/M3
401210415,McAlester,Active,R6,34.906082,-95.794128,233.6,-6.0,US,OK,04/16/2024,12:00,Oklahoma Department of Environmental Quality,McAlester,33.0,17.0,41.0,,1,1,1,0,,,,,9.3,UG/M3,,,35.0,PPB,17.0,UG/M3
510870014,MATH & SCIENCE CTR,Active,R3,37.55652,-77.40027,58.6,-5.0,US,VA,04/16/2024,12:00,Virginia Dept. of Environmental Quality,Richmond,35.0,13.0,28.0,3.0,1,1,1,1,3.2,PPB,0.2,PPM,4.6,UG/M3,-0.1,PPB,37.0,PPB,12.0,UG/M3
840560210004,Laramie County Mobile,Active,R8,41.08536,-104.52277,1742.2,-7.0,US,WY,04/16/2024,12:00,Wyoming Department of Environmental Quality,,44.0,2.0,21.0,1.0,1,1,1,1,1.0,PPB,,,6.0,UG/M3,0.0,PPB,44.0,PPB,5.0,UG/M3
150030010,Kapolei,Active,R9,21.323601,-158.088593,18.0,-10.0,US,HI,04/16/2024,12:00,Hawaii State Dept. of Health,Kapolei,,11.0,15.0,3.0,0,1,1,1,3.1,PPB,,,3.5,UG/M3,,,,,10.0,UG/M3
530650005,Colville-E 1st St,Active,R10,48.54469,-117.903222,488.3,-8.0,US,WA,04/16/2024,12:00,Washington Department of Ecology,Colville,,17.0,20.0,,0,1,1,0,,,,,7.0,UG/M3,,,,,30.0,UG/M3
120310098,Mandarin,Active,R4,30.1358,-81.6339,0.0,-5.0,US,FL,04/16/2024,12:00,City of Jacksonville - Environmental Quality Division,Jacksonville,,11.0,25.0,,0,1,1,0,,,,,6.7,UG/M3,,,,,13.0,UG/M3
300930005,Butte Greely School,Active,R8,46.002399,-112.500893,1683.0,-7.0,US,MT,04/16/2024,12:00,Montana DEQ,Butte,,16.0,26.0,,0,1,1,0,,,,,5.5,UG/M3,,,,,21.0,UG/M3
500210002,Rutland,Active,R1,43.608528,-72.98246,171.1,-5.0,US,VT,04/16/2024,12:00,Vermont Air Quality & Climate Division,Rutland|Vermont Mountain Valley Locations,9.0,41.0,40.0,12.0,1,1,1,1,13.1,PPB,0.5,PPM,10.4,UG/M3,0.7,PPB,8.0,PPB,50.0,UG/M3
040191030,Green Valley,Active,R9,31.8794,-110.9964,0.0,-7.0,US,AZ,04/16/2024,12:00,Pima County Department of Environmental Quality,Tucson,25.0,10.0,6.0,,1,1,1,0,,,,,1.0,UG/M3,,,16.0,PPB,13.0,UG/M3
181630021,Evansville-Buena Vista,Active,R5,38.01325,-87.577923,115.9,-6.0,US,IN,04/16/2024,12:00,Indiana Dept. of Environmental Management,Evansville,27.0,22.0,52.0,4.0,1,1,1,1,4.3,PPB,,,13.0,UG/M3,-1.0,PPB,21.0,PPB,26.0,UG/M3
517100024,NORFOLK - NOAA,Active,R3,36.85555,-76.30135,0.0,-5.0,US,VA,04/16/2024,12:00,Virginia Dept. of Environmental Quality,,,14.0,28.0,6.0,0,1,1,1,6.6,PPB,0.2,PPM,6.1,UG/M3,0.0,PPB,,,15.0,UG/M3
840391450015,East Haverhill,Active,R5,38.59246,-82.80677,0.0,-5.0,US,OH,04/16/2024,12:00,Ohio EPA-DAPC,,,19.0,35.0,,0,1,1,0,,,,,8.7,UG/M3,,,,,21.0,UG/M3
840080010010,Adams-Birch,Active,R8,39.8281,-104.93645,1568.9,-7.0,US,CO,04/16/2024,12:00,Colorado Department of Public Health and Environment,,,10.0,10.0,,0,1,1,0,,,,,2.9,UG/M3,,,,,13.0,UG/M3
320030298,GreenValley,Active,R9,36.048705,-115.052942,562.4,-8.0,US,NV,04/16/2024,12:00,Clark County Department of Environment and Sustainability ,Las Vegas,41.0,5.0,3.0,,1,1,1,0,,,,,0.9,UG/M3,,,40.0,PPB,5.0,UG/M3
295100093,Branch Street,Active,R7,38.65643,-90.18977,128.7,-6.0,US,MO,04/16/2024,12:00,Missouri Department of Natural Resources,Saint Louis,,59.0,54.0,,0,1,1,0,,,,,16.2,UG/M3,,,,,107.0,UG/M3
130511002,Savannah L&A,Active,R4,32.0903,-81.1306,11.9,-5.0,US,GA,04/16/2024,12:00,Georgia Department of Natural Resources,Savannah,,69.0,75.0,,0,1,1,0,,,,,21.1,UG/M3,1.6,PPB,,,79.0,UG/M3
840160270010,Nampa Ridgecrest,Active,R10,43.59934,-116.52887,2563.5,-7.0,US,ID,04/16/2024,12:00,Idaho Department of Environmental Quality,Boise,,8.0,15.0,,0,1,1,0,,,,,3.0,UG/M3,,,,,8.0,UG/M3
060250007,Brawley - 220 Main Street,Active,R9,32.978298,-115.5383,0.0,-8.0,US,CA,04/16/2024,12:00,Imperial County Air Pollution Control District,Imperial Valley|Brawley,,26.0,22.0,,0,1,1,0,,,,,6.9,UG/M3,,,,,31.0,UG/M3
840021851111,BLM-Kaktovik,Active,R10,70.1319,-143.6239,0.0,-9.0,US,AK,04/16/2024,12:00,Bureau of Land Management - Alaska ,,38.0,4.0,13.0,0.0,1,1,1,1,0.3,PPB,0.1,PPM,3.1,UG/M3,0.0,PPB,43.0,PPB,4.0,UG/M3
840132150012,Columbus Baker Street,Active,R4,32.4274,-84.9457,0.0,-5.0,US,GA,04/16/2024,12:00,Georgia Department of Natural Resources,,,21.0,54.0,,0,1,1,0,,,,,15.0,UG/M3,,,,,26.0,UG/M3
010731010,LEEDS,Active,R4,33.5453,-86.5492,0.0,-6.0,US,AL,04/16/2024,12:00,Jefferson County Department of Health,Birmingham,24.0,28.0,52.0,,1,1,1,0,,,,,13.3,UG/M3,,,25.0,PPB,34.0,UG/M3
060832011,Goleta,Active,R9,34.445301,-119.827797,0.0,-8.0,US,CA,04/16/2024,12:00,Santa Barbara County Air Pollution Control District,Goleta,9.0,6.0,32.0,,1,1,1,0,,,,,6.0,UG/M3,,,7.0,PPB,8.0,UG/M3
840230050015,Portland Tukey's Bridge,Active,R1,43.678,-70.2561,0.0,-5.0,US,ME,04/16/2024,12:00,Maine Dept. of Environmental Protection,,,19.0,21.0,,0,1,1,0,,,,,4.6,UG/M3,,,,,20.0,UG/M3
840390170015,Ohio Bell,Active,R5,39.49072,-84.36374,0.0,-5.0,US,OH,04/16/2024,12:00,Ohio EPA-DAPC,,,15.0,25.0,,0,1,1,0,,,,,5.8,UG/M3,,,,,16.0,UG/M3
461030020,Credit Union,Active,R8,44.087397,-103.273777,0.0,-7.0,US,SD,04/16/2024,12:00,South Dakota Department of Agriculture and Natural Resources,Rapid City,,68.0,30.0,,0,1,1,0,,,,,5.7,UG/M3,,,,,78.0,UG/M3
380570004,Beulah North,Active,R8,47.2986,-101.7669,630.1,-6.0,US,ND,04/16/2024,12:00,North Dakota Department of Environmental Quality,Beulah,26.0,7.0,18.0,1.0,1,1,1,1,1.3,PPB,,,3.8,UG/M3,0.9,PPB,30.0,PPB,7.0,UG/M3
840060771003,Stockton - University Park,Active,R9,37.961578,-121.281414,9.8,-8.0,US,CA,04/16/2024,12:00,California Air Resources Board,Stockton,9.0,18.0,52.0,,1,1,1,1,,,,,16.0,UG/M3,,,,,19.0,UG/M3
060658005,Mira Loma - Van Buren,Active,R9,33.996387,-117.4925,230.9,-8.0,US,CA,04/16/2024,12:00,South Coast AQMD,Norco and Corona|Metro Riverside CO,7.0,26.0,45.0,19.0,1,1,1,1,20.1,PPB,0.5,PPM,12.0,UG/M3,,,0.0,PPB,31.0,UG/M3
300530018,Libby Courthouse,Active,R8,48.391672,-115.55228,2033.1,-7.0,US,MT,04/16/2024,12:00,Montana DEQ,Libby,,12.0,20.0,,0,1,1,0,,,,,4.3,UG/M3,,,,,10.0,UG/M3
132450091,Augusta,Active,R4,33.4333,-82.0219,46.1,-5.0,US,GA,04/16/2024,12:00,Georgia Department of Natural Resources,Aiken-Augusta - SC and GA,18.0,33.0,55.0,,1,1,1,0,,,,,15.3,UG/M3,0.9,PPB,9.0,PPB,36.0,UG/M3
040139997,Phoenix JLG Supersite,Active,R9,33.503601,-112.095001,315.7,-7.0,US,AZ,04/16/2024,12:00,Arizona Department of Environmental Quality,Phoenix,14.0,22.0,26.0,20.0,1,1,1,1,21.7,PPB,0.5,PPM,6.9,UG/M3,0.8,PPB,4.0,PPB,27.0,UG/M3
040191113,Geronimo,Active,R9,32.25,-110.9667,747.9,-7.0,US,AZ,04/16/2024,12:00,Pima County Department of Environmental Quality,Tucson,,22.0,25.0,,0,1,1,0,,,,,6.0,UG/M3,,,,,31.0,UG/M3
060510005,Lee Vining,Active,R9,37.962069,-119.120278,0.0,-8.0,US,CA,04/16/2024,12:00,Great Basin Unified Air Pollution Control District,Mono Lake|Lee Vining,,6.0,7.0,,0,1,1,0,,,,,1.8,UG/M3,,,,,7.0,UG/M3
370630015,Durham Armory,Active,R4,36.032955,-78.904037,118.0,-5.0,US,NC,04/16/2024,12:00,North Carolina DEQ - Division of Air Quality,Durham County|Granville County|Person County,25.0,27.0,64.0,,1,1,1,0,,,,,19.0,UG/M3,0.3,PPB,32.0,PPB,33.0,UG/M3
060731008,Camp Pendleton,Active,R9,33.217026,-117.396156,16.2,-8.0,US,CA,04/16/2024,12:00,San Diego APCD,San Diego Coast,17.0,10.0,25.0,,1,1,1,0,,,,,6.1,UG/M3,,,16.0,PPB,11.0,UG/M3
551110007,Devils Lake,Active,R5,43.4356,-89.6803,0.0,-6.0,US,WI,04/16/2024,12:00,Wisconsin Dept. of Natural Resources,"Dane, Columbia, and Sauk Counties",37.0,7.0,17.0,,1,1,1,0,,,,,3.8,UG/M3,,,39.0,PPB,8.0,UG/M3
530050002,Kennewick-Metaline,Active,R10,46.2183,-119.2015,162.0,-8.0,US,WA,04/16/2024,12:00,Washington Department of Ecology,Kennewick,,6.0,8.0,,0,1,1,0,,,,,2.1,UG/M3,,,,,6.0,UG/M3
090090027,New Haven,Active,R1,41.301288,-72.902685,0.0,-5.0,US,CT,04/16/2024,12:00,Connecticut Dept. of Energy and Environmental Protection,New Haven,28.0,19.0,17.0,,1,1,1,1,,,0.2,PPM,3.5,UG/M3,0.1,PPB,42.0,PPB,19.0,UG/M3
040134005,Tempe,Active,R9,33.4124,-111.9347,352.3,-7.0,US,AZ,04/16/2024,12:00,Maricopa County Air Quality Department,Phoenix,19.0,13.0,22.0,,1,1,1,0,,,,,5.8,UG/M3,,,11.0,PPB,14.0,UG/M3
130210012,Macon Forestry,Active,R4,32.8031,-83.5447,0.0,-5.0,US,GA,04/16/2024,12:00,Georgia Department of Natural Resources,Macon,8.0,31.0,50.0,,1,1,1,0,,,,,12.3,UG/M3,0.9,PPB,2.0,PPB,40.0,UG/M3
840060652007,Indio Amistad High School,Active,R9,33.72537,-116.20684,-7.9,-8.0,US,CA,04/16/2024,12:00,South Coast AQMD,,23.0,17.0,35.0,,1,1,1,0,,,,,8.7,UG/M3,,,22.0,PPB,23.0,UG/M3
060250005,Calexico - Ethel Street,Active,R9,32.67618,-115.48307,0.0,-8.0,US,CA,04/16/2024,12:00,California Air Resources Board,Imperial Valley|Calexico,19.0,23.0,14.0,,1,1,1,1,,,,,0.7,UG/M3,,,,,19.0,UG/M3
764TPCD0016T,South Bangkok Power Plant,Active,,13.618,100.5562,0.0,7.0,,,04/16/2024,12:00,Thailand Pollution Control Department,,,23.0,61.0,,1,1,1,1,,,,,17.0,UG/M3,,,,,26.0,UG/M3
840081010015,Pueblo Fountain Elementary,Active,R8,38.27601,-104.597591,0.0,-7.0,US,CO,04/16/2024,12:00,Colorado Department of Public Health and Environment,,,15.0,6.0,,0,1,1,0,,,,,1.8,UG/M3,,,,,18.0,UG/M3
020200018,Garden,Active,R10,61.205861,-149.8246,38.7,-9.0,US,AK,04/16/2024,12:00,State of Alaska DEC,Anchorage,,18.0,17.0,,0,1,1,0,,,0.3,PPM,2.0,UG/M3,,,,,14.0,UG/M3
040134003,South Phoenix,Active,R9,33.4033,-112.0731,307.4,-7.0,US,AZ,04/16/2024,12:00,Maricopa County Air Quality Department,Phoenix,9.0,27.0,45.0,,1,1,1,0,,,0.8,PPM,12.0,UG/M3,,,1.0,PPB,34.0,UG/M3
160790017,Pinehurst,Active,R10,47.536712,-116.236867,680.5,-8.0,US,ID,04/16/2024,12:00,Idaho Department of Environmental Quality,Pinehurst,,15.0,23.0,,0,1,1,0,,,,,6.0,UG/M3,,,,,14.0,UG/M3
390950024,Erie,Active,R5,41.644067,-83.54625,298.9,-5.0,US,OH,04/16/2024,12:00,Ohio EPA-DAPC,Toledo,30.0,17.0,26.0,,1,1,1,0,,,,,6.1,UG/M3,,,33.0,PPB,21.0,UG/M3
320311005,Sparks,Active,R9,39.54092,-119.746764,0.0,-8.0,US,NV,04/16/2024,12:00,Northern Nevada Public Health Air Quality Management Division,Reno-Sparks,5.0,24.0,27.0,,1,1,1,0,,,,,7.0,UG/M3,,,0.0,PPB,34.0,UG/M3
484530021,Austin Webberville Road C171,Active,R6,30.2633,-97.7131,152.5,-6.0,US,TX,04/16/2024,12:00,Texas Commission on Environmental Quality,Austin,,29.0,58.0,,0,1,1,0,,,,,17.0,UG/M3,,,,,30.0,UG/M3
840080030001,Adams State College,Active,R8,37.469433,-105.87896,0.0,-7.0,US,CO,04/16/2024,12:00,Colorado Department of Public Health and Environment,,,8.0,7.0,,0,1,1,0,,,,,1.9,UG/M3,,,,,9.0,UG/M3
060731014,Otay Mesa - Donovan,Active,R9,32.579361,-116.929486,184.8,-8.0,US,CA,04/16/2024,12:00,San Diego APCD,San Diego Mesa and Inland Valley,22.0,30.0,54.0,,1,1,1,0,,,,,10.6,UG/M3,,,24.0,PPB,26.0,UG/M3
390130006,Shadyside,Active,R5,39.9679,-80.7464,194.9,-5.0,US,OH,04/16/2024,12:00,Ohio EPA-DAPC,,,19.0,23.0,10.0,0,1,1,1,11.0,PPB,,,6.1,UG/M3,0.0,PPB,,,25.0,UG/M3
350011012,Tramway,Active,R6,35.185,-106.5077,1805.3,-7.0,US,NM,04/16/2024,12:00,Albuquerque Environmental Health Department,Albuquerque,44.0,7.0,5.0,,1,1,1,0,,,,,1.0,UG/M3,,,48.0,PPB,7.0,UG/M3
840560210005,Harriman Road Mobile BAM,Active,R8,41.095,-105.1725,2237.5,-7.0,US,WY,04/16/2024,12:00,Wyoming Department of Environmental Quality,,,6.0,8.0,,0,1,1,0,,,,,2.0,UG/M3,,,,,8.0,UG/M3
510410004,BEACH ROAD,Active,R3,37.35748,-77.59355,0.0,-5.0,US,VA,04/16/2024,12:00,Virginia Dept. of Environmental Quality,Richmond,30.0,16.0,32.0,,1,1,1,0,,,,,4.9,UG/M3,,,38.0,PPB,12.0,UG/M3
010730023,NO. BHAM,Active,R4,33.5531,-86.815,0.0,-6.0,US,AL,04/16/2024,12:00,Jefferson County Department of Health,Birmingham,36.0,23.0,52.0,,1,1,1,0,,,,,11.2,UG/M3,,,34.0,PPB,22.0,UG/M3
530330080,Seattle-Beacon Hill,Active,R10,47.568236,-122.308628,101.9,-8.0,US,WA,04/16/2024,12:00,Washington Department of Ecology,Seattle-Bellevue-Kent Valley,36.0,6.0,14.0,3.0,1,1,1,1,3.0,PPB,0.2,PPM,2.8,UG/M3,0.0,PPB,37.0,PPB,7.0,UG/M3
320030024,Virgin Valley,Active,R9,36.815897,-114.050347,0.0,-8.0,US,NV,04/16/2024,12:00,Clark County Department of Environment and Sustainability ,Mesquite,32.0,7.0,5.0,,1,1,1,0,,,,,1.5,UG/M3,,,28.0,PPB,8.0,UG/M3
230030014,Madawaska PSB,Active,R1,47.3553,-68.3211,0.0,-5.0,US,ME,04/16/2024,12:00,Maine Dept. of Environmental Protection,Northern,,15.0,34.0,,0,1,1,0,,,,,4.7,UG/M3,,,,,8.0,UG/M3
391130038,Sinclair,Active,R5,39.758235,-84.197375,0.0,-5.0,US,OH,04/16/2024,12:00,Ohio EPA-DAPC,Dayton,,18.0,28.0,,0,1,1,0,,,,,7.9,UG/M3,,,,,24.0,UG/M3
840060831009,Santa Maria,Active,R9,34.890667,-120.432844,100.0,-8.0,US,CA,04/16/2024,12:00,Santa Barbara County Air Pollution Control District,Santa Maria,22.0,13.0,11.0,,1,1,1,0,,,,,2.0,UG/M3,,,25.0,PPB,11.0,UG/M3
